T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
213017, 562, 790, 37, -5880, -11900, 5180
213037, 578, 826, 37, -6930, -10150, -5320
213057, 598, 860, 37, -6650, -9590, -11060
213077, 606, 871, 35, -3990, -11270, -8960
213097, 593, 847, 36, -560, -13510, 140
213117, 574, 811, 33, 140, -12390, 11550
213137, 552, 775, 36, -1750, -7700, 16800
213157, 543, 761, 39, -5180, -980, 14070
213177, 549, 777, 41, -6090, 2240, 5530
213197, 577, 818, 37, -2590, -420, -2660
213217, 612, 875, 32, 3360, -6160, -8260
213237, 629, 905, 31, 7980, -9240, -12460
213257, 626, 903, 35, 6930, -4270, -10430
213277, 600, 861, 38, 1330, 6090, -420
213297, 572, 816, 37, -210, 11410, 9380
213317, 549, 772, 37, 4200, 9730, 13020
213337, 537, 752, 37, 8470, 7210, 12390
213357, 540, 756, 35, 9730, 7980, 7000
213377, 562, 791, 37, 7560, 9730, -1400
213397, 586, 838, 38, 7280, 10640, -13300
213417, 605, 875, 40, 8540, 10220, -17990
213437, 618, 891, 36, 13090, 5600, -13790
213457, 607, 871, 32, 14700, 4620, -1330
213477, 578, 823, 35, 9240, 11970, 14070
213497, 548, 772, 42, 2450, 20090, 22540
213517, 536, 751, 41, 3290, 17850, 17990
213537, 541, 758, 39, 10220, 8190, 3010
213557, 551, 779, 37, 13230, 2730, -11270
213577, 566, 806, 38, 9660, 4340, -16380
213597, 585, 841, 38, 6230, 5740, -12320
213617, 600, 856, 38, 4620, 5670, -5040
213637, 598, 859, 41, 2730, 6510, 1470
213657, 597, 851, 41, 2450, 5600, 5040
213677, 594, 846, 36, 6580, -140, 2310
213697, 589, 837, 34, 7980, -2520, -2240
213717, 582, 832, 37, 3010, 2450, -3080
213737, 579, 829, 42, -1050, 6020, 140
213757, 575, 822, 40, 280, 2520, 5460
213777, 571, 812, 37, 3150, -3010, 9450
213797, 570, 804, 38, 3080, -4830, 9240
213817, 571, 808, 37, 2590, -5600, 2450
213837, 574, 815, 36, 1750, -5880, -4270
213857, 574, 822, 39, -1610, -3640, -2800
213877, 576, 820, 41, -3990, -2730, 3290
213897, 580, 827, 40, -2520, -5810, 8260
213917, 590, 841, 36, 1400, -11060, 7910
213937, 593, 845, 36, 2030, -11830, 4690
