T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY,LabelZ
85374,454,678,121,-11200,-73990,-55650,1,1,1
85394,439,760,188,-10500,-49280,-72100,1,1,1
85414,281,890,70,-700,-59080,-93240,1,1,1
85434,413,956,-61,14910,-95690,-76160,1,1,1
85454,585,987,-86,42420,-114170,-56000,1,1,1
85474,574,904,12,55580,-97860,-57680,1,1,1
85494,483,926,-13,44240,-63630,-56560,1,1,1
85514,463,882,22,5880,-32130,-39970,1,1,1
85534,583,798,-16,-2380,-1330,1610,1,1,1
85554,678,786,-129,4550,-490,-350,1,1,1
85574,880,904,-222,18130,980,5460,1,1,1
85594,1166,1147,-326,43120,32690,39690,1,1,1
85614,1453,1321,-397,68180,74410,67340,1,1,1
85634,1770,1581,-388,73360,124040,73780,1,1,1
85654,962,849,-94,-49560,155470,79450,1,1,1
85674,189,596,166,-199640,37800,35630,1,1,1
85694,99,429,203,-314580,-75180,-65870,1,1,1
85714,-95,263,192,-314510,-264040,76860,1,1,1
85734,-76,157,66,-192850,-578550,290640,1,1,1
85754,100,203,-30,-34930,-818230,377090,1,1,1
85774,557,671,-124,82390,-889280,300230,1,1,1
85794,1997,1997,-1154,167930,-852950,28350,1,1,1
85814,1928,1997,-404,-129150,-485170,-424270,1,1,1
85834,419,1025,241,-461090,47670,-80990,1,1,1
85854,132,290,183,-99820,-202860,405020,1,1,1
85874,317,233,-113,266910,-576520,537810,1,1,1
85894,391,167,-183,386470,-557900,464100,1,1,1
85914,354,104,-198,290850,-219450,305620,1,1,1
85934,190,51,-55,145180,164150,70490,1,1,1
85954,114,189,99,79170,404320,-180390,1,1,1
85974,281,614,125,184730,370930,-366100,1,1,1
85994,752,1358,-10,370650,168420,-397180,1,1,1
86014,1429,1997,-282,472850,33320,-229320,1,1,1
86034,1091,1995,-126,333060,247520,157150,1,1,1
86054,591,876,41,127680,521010,437570,1,1,1
86074,389,539,54,159460,466620,275520,1,1,1
86094,339,470,-28,286860,329910,52150,1,1,1
86114,264,430,-13,332710,309190,-8330,1,1,1
86134,225,402,-4,311920,356300,35560,1,1,1
86154,169,324,21,269360,398790,129220,1,1,1
86174,126,204,62,214410,427070,202160,1,1,1
86194,116,106,111,186900,401590,189560,1,1,1
86214,182,170,105,218190,306390,60270,1,1,1
86234,317,409,18,310870,156940,-145880,1,1,1
101554,1997,1997,-1840,507360,-799260,331310,1,1,1
101574,-120,1466,375,1325170,-232190,121870,1,1,1
101594,399,1540,150,85750,1319850,-324660,1,1,1
101614,632,1446,-48,245070,975520,-309960,1,1,1
101634,264,464,187,293720,611590,-194880,1,1,1
101654,216,284,130,204190,556500,141610,1,1,1
101674,447,535,-217,405090,256200,14000,1,1,1
101694,298,448,308,590660,-31360,-335370,1,1,1
101714,739,1478,-100,382760,115710,-553490,1,1,1
101734,428,455,195,119280,311990,-349160,1,1,1
101754,903,1399,-185,-50470,455700,157920,1,1,1
101774,567,1090,96,122920,338660,99470,1,1,1
101794,622,1096,-149,-11620,486080,159950,1,1,1
101814,-694,1540,-315,-42770,440720,252280,1,1,1
101834,1252,659,-415,88200,516180,34930,1,1,1
101854,517,803,167,87710,391300,-125580,1,1,1
101874,109,935,20,103600,-4200,-20930,1,1,1
101894,384,953,-222,88830,-125860,65940,1,1,1
101914,552,882,-32,-19530,-266490,17430,1,1,1
101934,582,821,32,-9100,-257320,-12320,1,1,1
101954,340,892,-168,-25200,-177660,-19950,1,1,1
101974,465,852,-184,-1190,-20860,13720,1,1,1
101994,406,893,-154,-30590,16730,-280,1,1,1
102014,444,878,-96,-4900,-14280,-420,1,1,1
102034,476,858,-89,3290,-26600,3850,1,1,1
102054,452,886,-91,6300,-5180,-2100,1,1,1
102074,453,909,-102,6090,14770,-1470,1,1,1
102094,449,901,-122,8610,25340,-210,1,1,1
102114,484,904,-142,12460,35280,-8400,1,1,1
102134,446,915,-111,14980,38150,-15750,1,1,1
102154,418,903,-109,20090,50750,-23800,1,1,1
102174,398,902,-111,18200,61390,-26530,1,1,1
102194,416,890,-107,11550,49700,-16870,1,1,1
102214,400,929,-117,6790,28000,-5530,1,1,1
102234,403,903,-118,1960,10080,-3010,1,1,1
